/api/products/2
/api/products/2
/api/products
/api/products	1713329556249
/api/products	1713329556530
/api/products	Wed, 17 Apr 2024 04:56:44 GMT
/api/products	4/17/2024, 10:27:26 AM
/api/users	4/17/2024, 10:40:46 AM
/api/products	4/17/2024, 10:54:40 AM
/api/products	4/17/2024, 11:04:02 AM
/api/products	4/17/2024, 11:33:17 AM
/api/products	4/17/2024, 11:33:24 AM
/api/products	4/17/2024, 11:33:26 AM
/api/products/1	4/17/2024, 11:33:39 AM
/api/products/1	4/17/2024, 11:33:43 AM
/api/products	4/17/2024, 11:33:47 AM
/api/products	4/17/2024, 11:47:19 AM
/api/products	4/17/2024, 11:47:28 AM
/api/products	4/17/2024, 12:01:20 PM
